Sample	PCT_CODING_BASES	RIBOSOMAL_BASES	PF_NOT_ALIGNED_BASES	PCT_MRNA_BASES	CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	PCT_RIBOSOMAL_BASES	PCT_INTRONIC_BASES	MEDIAN_3PRIME_BIAS	PF_ALIGNED_BASES	LIBRARY	MEDIAN_5PRIME_BIAS	PCT_USABLE_BASES	PF_BASES	READ_GROUP	IGNORED_READS	SAMPLE	INTERGENIC_BASES	INTRONIC_BASES	MEDIAN_5PRIME_TO_3PRIME_BIAS	PCT_INTERGENIC_BASES	PCT_CORRECT_STRAND_READS	INCORRECT_STRAND_READS	CODING_BASES	UTR_BASES	PCT_UTR_BASES
1073_0025_star_genome	39.629	261441934.0	285402944.0	72.3865	0.0	0.445768	4.0069	18.1697	0.517397	6524767486.0		0.430154	69.3529	6810170430.0		0.0		357917633.0	1185529111.0	0.741483	5.4855	0.0	0.0	2585702364.0	2137346290.0	32.7574
1073_0026_star_genome	42.8417	127922156.0	253498605.0	77.1366	0.0	0.451948	1.7456	16.5122	0.513399	7328251629.0		0.460825	74.5575	7581750234.0		0.0		339051357.0	1210059046.0	0.78254	4.6266	0.0	0.0	3139547927.0	2513215735.0	34.2949
1073_0027_star_genome	41.926	132715414.0	239448390.0	76.1691	0.0	0.43912	2.184	17.0625	0.516596	6076595902.0		0.460756	73.2814	6316044292.0		0.0		280156046.0	1036819177.0	0.76987	4.6104	0.0	0.0	2547672826.0	2080814455.0	34.2431
1073_0028_star_genome	39.9764	195851322.0	264878957.0	73.7091	0.0	0.438746	3.1974	18.0966	0.538551	6125242573.0		0.445136	70.6538	6390121530.0		0.0		308464684.0	1108457599.0	0.742513	5.036	0.0	0.0	2448649777.0	2066213721.0	33.7328
1073_0029_star_genome	43.3086	88709916.0	180672862.0	78.1606	0.0	0.450043	1.5233	16.1025	0.501075	5823504236.0		0.446506	75.8086	6004177098.0		0.0		246435227.0	937730202.0	0.750143	4.2317	0.0	0.0	2522077707.0	2029606041.0	34.852
1073_0030_star_genome	41.0445	180336712.0	220443068.0	75.268	0.0	0.443967	3.1676	16.7688	0.540035	5693219446.0		0.417242	72.4622	5913662514.0		0.0		275191339.0	954686800.0	0.688938	4.8337	0.0	0.0	2336754760.0	1948417080.0	34.2235
1073_0031_star_genome	42.6894	112530968.0	187886947.0	76.923	0.0	0.445538	1.8873	16.584	0.516499	5962452099.0		0.436601	74.5731	6150339046.0		0.0		275962435.0	988815136.0	0.756611	4.6283	0.0	0.0	2545337015.0	2041160575.0	34.2336
1073_0032_star_genome	42.64	116275644.0	190266724.0	76.7889	0.0	0.450903	2.0287	16.5531	0.484219	5731421654.0		0.44233	74.3217	5921688378.0		0.0		266697263.0	948729898.0	0.748729	4.6532	0.0	0.0	2443877503.0	1957220987.0	34.149
1073_0033_star_genome	40.9288	179253184.0	225052491.0	74.9121	0.0	0.444395	2.9174	17.1084	0.520986	6144381209.0		0.442651	72.2652	6369433700.0		0.0		313130615.0	1051206225.0	0.73087	5.0962	0.0	0.0	2514821641.0	2088063934.0	33.9833
1073_0034_star_genome	43.2515	60361842.0	179843164.0	79.6026	0.0	0.443883	1.0216	15.3753	0.525629	5908703678.0		0.435074	77.2513	6088546842.0		0.0		237086281.0	908480901.0	0.760528	4.0125	0.0	0.0	2555601904.0	2147879907.0	36.3511
1073_0035_star_genome	42.108	157299420.0	238061443.0	75.921	0.0	0.444617	2.422	17.0169	0.537185	6494487053.0		0.460674	73.2365	6732548496.0		0.0		303250268.0	1105161446.0	0.789909	4.6693	0.0	0.0	2734695398.0	2195985297.0	33.8131
1073_0036_star_genome	40.9406	168398108.0	265315186.0	74.2725	0.0	0.441528	2.8407	18.0325	0.527929	5928114298.0		0.468493	71.0908	6193429484.0		0.0		289801298.0	1068985317.0	0.803861	4.8886	0.0	0.0	2427002615.0	1975953737.0	33.3319
1073_0037_star_genome	54.8965	14663382.0	130781752.0	90.3079	0.0	0.499263	0.2433	7.2691	0.468529	6026374390.0		0.331402	88.3897	6157156142.0		0.0		131539210.0	438063525.0	0.583619	2.1827	0.0	0.0	3308271091.0	2134021632.0	35.4114
1073_0038_star_genome	53.1026	17625308.0	140775457.0	89.8151	0.0	0.486929	0.2721	7.5924	0.461605	6476959269.0		0.328043	87.9046	6617734726.0		0.0		150512159.0	491755871.0	0.621843	2.3238	0.0	0.0	3439436119.0	2377854475.0	36.7125
1073_0039_star_genome	54.5307	13548140.0	118233734.0	89.9489	0.0	0.500247	0.2431	7.6335	0.445284	5572184440.0		0.341324	88.08	5690418174.0		0.0		121332318.0	425350804.0	0.659099	2.1775	0.0	0.0	3038551655.0	1973568705.0	35.4182
1073_0040_star_genome	49.9623	122232624.0	230053659.0	86.6422	0.0	0.515298	2.0147	7.6065	0.473563	6067055759.0		0.307194	83.4769	6297109418.0		0.0		228230599.0	461491541.0	0.530885	3.7618	0.0	0.0	3031240353.0	2225392792.0	36.6799
1073_0041_star_genome	50.2218	87384392.0	202477368.0	89.1544	0.0	0.537987	1.2536	6.5898	0.542505	6970679588.0		0.25645	86.6378	7173156956.0		0.0		210373315.0	459352086.0	0.442182	3.018	0.0	0.0	3500801397.0	2713866764.0	38.9326
1073_0042_star_genome	48.1455	161112170.0	253260578.0	84.8177	0.0	0.52233	2.6915	8.2195	0.494301	5985888576.0		0.305048	81.3748	6239149154.0		0.0		257645188.0	492012256.0	0.502108	4.3042	0.0	0.0	2881935309.0	2195158377.0	36.6722
1073_0043_star_genome	54.1803	15951738.0	133644786.0	90.2456	0.0	0.500534	0.2418	7.3323	0.475225	6595747056.0		0.31788	88.4533	6729391842.0		0.0		144003263.0	483620315.0	0.565301	2.1833	0.0	0.0	3573592523.0	2378778386.0	36.0653
1073_0044_star_genome	53.8327	20404222.0	134341462.0	89.2919	0.0	0.501381	0.3225	8.1138	0.461743	6326048394.0		0.313507	87.4351	6460389856.0		0.0		143961681.0	513283455.0	0.593632	2.2757	0.0	0.0	3405483597.0	2243166699.0	35.4592
1073_0045_star_genome	52.2629	31690568.0	132598064.0	88.1358	0.0	0.499161	0.5896	8.7841	0.488192	5375354520.0		0.327735	86.0141	5507952584.0		0.0		134265051.0	472176380.0	0.607782	2.4978	0.0	0.0	2809317311.0	1928297017.0	35.8729
1073_0047_star_genome	45.597	159488494.0	254587498.0	83.4133	0.0	0.508133	2.6963	9.3486	0.520307	5915125368.0		0.297008	79.9714	6169712866.0		0.0		270619648.0	552982055.0	0.506897	4.575	0.0	0.0	2697118760.0	2236884750.0	37.8164
1073_0048_star_genome	50.4645	80270760.0	181374379.0	88.3006	0.0	0.528146	1.4641	6.9805	0.481485	5482629467.0		0.312415	85.473	5664003846.0		0.0		179419604.0	382717097.0	0.531714	3.2725	0.0	0.0	2766779734.0	2074417087.0	37.8362
1073_0049_star_genome	53.1722	18075364.0	144017417.0	89.0594	0.0	0.496964	0.2778	8.337	0.464908	6506887123.0		0.310875	87.1309	6650904540.0		0.0		151556218.0	542480478.0	0.572572	2.3292	0.0	0.0	3459854916.0	2335141304.0	35.8872
1073_0050_star_genome	52.7232	22134756.0	134749866.0	89.5813	0.0	0.487748	0.3287	7.6785	0.479086	6733737358.0		0.321405	87.8238	6868487224.0		0.0		162653068.0	517051077.0	0.584455	2.4155	0.0	0.0	3550244728.0	2481924575.0	36.8581
1073_0051_star_genome	53.1907	17044154.0	140042228.0	88.8552	0.0	0.496327	0.2829	8.5227	0.462258	6024955958.0		0.313749	86.8368	6164998186.0		0.0		141153750.0	513486673.0	0.591216	2.3428	0.0	0.0	3204716761.0	2148768665.0	35.6645
1073_0052_star_genome	49.2654	101116352.0	210997816.0	87.5986	0.0	0.518407	1.7211	7.2182	0.500919	5875146236.0		0.304667	84.5617	6086144052.0		0.0		204614570.0	424078388.0	0.514397	3.4827	0.0	0.0	2894417186.0	2252129932.0	38.3332
1073_0054_star_genome	47.5606	170028248.0	292957022.0	84.9728	0.0	0.523337	2.492	8.2451	0.486098	6823062416.0		0.287683	81.4746	7116019438.0		0.0		294778109.0	562570802.0	0.503304	4.3203	0.0	0.0	3245087466.0	2552659999.0	37.4122
1073_0055_star_genome	52.0468	26780150.0	129627286.0	87.8489	0.0	0.498541	0.4748	9.139	0.49091	5640894594.0		0.364258	85.8755	5770521880.0		0.0		143463781.0	515518708.0	0.632148	2.5433	0.0	0.0	2935905394.0	2019557093.0	35.8021
1073_0056_star_genome	51.4193	42982570.0	153759076.0	87.6225	0.0	0.502018	0.7198	9.0083	0.481545	5971398650.0		0.348359	85.423	6125157726.0		0.0		158744137.0	537919115.0	0.593868	2.6584	0.0	0.0	3070450660.0	2161840879.0	36.2033
1073_0057_star_genome	51.0763	37068010.0	131180093.0	87.5643	0.0	0.504952	0.6446	9.1579	0.506194	5750488247.0		0.338861	85.6113	5881668340.0		0.0		151900796.0	526626193.0	0.574595	2.6415	0.0	0.0	2937138389.0	2098236321.0	36.488
1073_0058_star_genome	49.2445	119914270.0	241963666.0	86.833	0.0	0.525888	1.8726	7.4902	0.485745	6403731698.0		0.284525	83.6715	6645695364.0		0.0		245051420.0	479649413.0	0.515248	3.8267	0.0	0.0	3153487587.0	2407067299.0	37.5885
1073_0059_star_genome	44.0562	200593878.0	344629283.0	81.1409	0.0	0.525254	3.4079	10.0704	0.553032	5886072837.0		0.277074	76.6528	6230702120.0		0.0		319158347.0	592748736.0	0.444884	5.4223	0.0	0.0	2593181231.0	2182829482.0	37.0846
1073_0060_star_genome	49.7661	99866578.0	227718032.0	87.713	0.0	0.530502	1.5899	7.279	0.488929	6281267570.0		0.277875	84.6443	6508985602.0		0.0		215894905.0	457213880.0	0.499266	3.4371	0.0	0.0	3125943203.0	2383542624.0	37.9468
1073_0061_star_genome	52.9082	48347488.0	158234176.0	88.3931	0.0	0.500568	0.7429	8.3851	0.474496	6508188004.0		0.32908	86.295	6666422180.0		0.0		161923591.0	545717243.0	0.603696	2.488	0.0	0.0	3443366801.0	2309420807.0	35.4849
1073_0062_star_genome	50.9368	46488482.0	169455403.0	87.2624	0.0	0.483997	0.7225	9.2743	0.501171	6433966815.0		0.332662	85.0231	6603422218.0		0.0		176904600.0	596704449.0	0.572606	2.7495	0.0	0.0	3277258146.0	2337176163.0	36.3256
1073_0063_star_genome	49.6811	133156784.0	220837404.0	88.1801	0.0	0.527883	1.854	6.7777	0.520704	7182237568.0		0.282933	85.5497	7403074972.0		0.0		230611767.0	486790257.0	0.510758	3.2109	0.0	0.0	3568212510.0	2765093119.0	38.499
1073_0064_star_genome	51.2585	63792812.0	149053033.0	86.8706	0.0	0.487573	1.1025	9.249	0.488259	5786163487.0		0.346745	84.689	5935216520.0		0.0		161504052.0	535160633.0	0.647152	2.7912	0.0	0.0	2965902708.0	2060572526.0	35.6121
1073_0065_star_genome	48.1866	132255056.0	263466376.0	84.8125	0.0	0.508819	2.2376	8.7025	0.495486	5910448494.0		0.30112	81.1932	6173914870.0		0.0		252601387.0	514357237.0	0.539219	4.2738	0.0	0.0	2848043363.0	2164752973.0	36.6259
1073_0066_star_genome	51.586	89157346.0	191688164.0	88.3591	0.0	0.520187	1.5512	6.8296	0.504042	5747561084.0		0.283688	85.5073	5939249248.0		0.0		188492556.0	392536153.0	0.518291	3.2795	0.0	0.0	2964936813.0	2113556753.0	36.7731
1073_0067_star_genome	51.3261	58095604.0	173465323.0	87.6182	0.0	0.495552	0.9269	8.6351	0.507665	6267763823.0		0.327309	85.2586	6441229146.0		0.0		177460881.0	541224876.0	0.586819	2.8313	0.0	0.0	3216998512.0	2274704801.0	36.2921
1073_0068_star_genome	50.5878	48237802.0	156192230.0	86.7746	0.0	0.486944	0.756	9.5683	0.457751	6380905914.0		0.321231	84.7013	6537098144.0		0.0		185724141.0	610543294.0	0.605629	2.9106	0.0	0.0	3227961633.0	2309046097.0	36.1868
1073_0069_star_genome	51.9418	58999352.0	139944551.0	87.4688	0.0	0.494497	1.0154	8.8087	0.4594	5810200173.0		0.341467	85.4116	5950144724.0		0.0		158002585.0	511805823.0	0.634421	2.7194	0.0	0.0	3017924309.0	2064190871.0	35.527
1073_0070_star_genome	48.4146	97436316.0	227332375.0	87.3785	0.0	0.551414	1.7048	7.2059	0.493635	5715431269.0		0.270575	84.0359	5942763644.0		0.0		213262553.0	411845540.0	0.472072	3.7313	0.0	0.0	2767101169.0	2226956534.0	38.9639
1073_0071_star_genome	46.8722	189488726.0	265149224.0	85.6898	0.0	0.530944	2.7302	7.572	0.53474	6940361870.0		0.261291	82.5366	7205511094.0		0.0		280432151.0	525524852.0	0.454527	4.0406	0.0	0.0	3253099043.0	2694082819.0	38.8176
1073_0072_star_genome	46.6472	167043698.0	330803615.0	84.7495	0.0	0.542747	2.3943	8.4761	0.508589	6976841709.0		0.263307	80.913	7307645324.0		0.0		307637791.0	591363056.0	0.450546	4.4094	0.0	0.0	3254502226.0	2658335314.0	38.1023
